user_id;timestamp;group;login_time;logout_time;US_ease;US_clarity;US_reuse;TR_model_trust;TR_understanding;TR_current_trust;TR_explanations;FB_likes;FB_improvements;FB_clinical_yn;FB_clinical;FB_other;EX_edit_helpful;EX_edit_reason;EX_self_efficacy;EX_terms_useful;EX_refinement;EX_helpful;EX_reuse;EX_trust;EX_edit_understanding;EX_clarity;EX_edit_changed;EX_understanding
372313c0-4622-40e4-a58e-be4f741b3fc6;2025-05-20T22:17:16.751660;A;2025-05-20T22:12:00.853523;2025-05-20T22:17:16.751689;3;3;3;3;3;3;;;;Unsure;;;;;;;;;;;;;;
c6e7a382-292d-46b1-8f90-b3def528de28;2025-05-21T09:50:18.033198;B;2025-05-21T09:41:02.383747;2025-05-21T09:50:18.033227;3;3;3;3;3;3;3.0;;;Unsure;;;3.0;;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;No;3.0
264dd611-d146-4adf-bb10-9d1566b5b053;2025-05-25T12:27:24.888244;B;2025-05-25T12:14:08.921418;2025-05-25T12:27:24.888284;5;5;5;5;5;5;4.0;;;Yes;;;4.0;;5.0;4.0;4.0;2.0;4.0;1.0;4.0;5.0;Yes;1.0
60d6283c-4b2a-4fc4-b701-12c506d7cc32;2025-05-25T14:13:51.874139;B;2025-05-25T14:08:46.974641;2025-05-25T14:13:51.874154;4;1;1;3;1;5;5.0;;;Unsure;;;1.0;;1.0;1.0;2.0;1.0;5.0;1.0;5.0;2.0;Yes;1.0
e0af3d42-3cb3-4186-bf7c-f528cc293e0e;2025-05-25T17:19:00.521020;A;2025-05-25T17:15:45.281175;2025-05-25T17:19:00.521050;3;3;3;3;3;3;;;;Unsure;;;;;;;;;;;;;;
3e1951fb-3411-4d20-b999-fe9ecb0c2e7e;2025-05-26T10:42:21.245377;A;2025-05-26T10:36:52.046245;2025-05-26T10:42:21.245403;1;2;5;5;2;5;;hello lets see if it saves;lets see;Yes;you are right;i dont know;;;;;;;;;;;;
ec19b2a4-9e2e-4254-9fb7-1d955c38e60e;2025-05-26T11:17:01.745082;A;2025-05-26T11:12:35.062013;2025-05-26T11:17:01.745112;5;5;5;3;3;3;;everything;no;Yes;hello;now;;;;;;;;;;;;
518e6810-cda5-4cad-bd4c-6831d14577df;2025-05-26T14:37:59.977572;A;2025-05-26T14:35:35.647988;2025-05-26T14:37:59.977588;1;1;2;4;2;1;;asdfsad;asdfasdf;Yes;dafsdf;asdfs;;;;;;;;;;;;
829ce4bf-38db-452e-a616-c545b62bcba1;2025-05-26T15:10:24.508277;B;2025-05-26T15:05:36.052038;2025-05-26T15:10:24.508299;1;4;3;5;4;1;1;wqefqwe;fqwefwe;Yes;qwefqwef;fqwefe;1;;5;4;2;1;4;2;4;4;Not sure;3
a78d2096-e138-420e-bbb7-427da51a1907;2025-05-26T16:21:32.057089;B;2025-05-26T16:17:22.248087;2025-05-26T16:21:32.057101;3;3;3;3;3;3;3;look for me ;look for me;Unsure;look for me;look for me;3;;3;3;3;3;3;3;3;3;Not sure;3
3e653ecf-a8c5-434c-b25c-0364335b2240;2025-05-26T16:36:38.341032;A;2025-05-26T16:34:09.435971;2025-05-26T16:36:38.341043;5;3;3;3;3;3;;xyz;xyz;Unsure;xyz;xyz;;;;;;;;;;;;
77309108-450b-411d-832e-6d6447535710;2025-05-26T17:47:24.432512;B;2025-05-26T17:44:38.454042;2025-05-26T17:47:24.432543;3;3;3;3;3;3;3;;;Unsure;;;3;;3;3;3;3;3;3;3;3;Not sure;3
c46b3b89-00d0-4d7b-a09e-86550dbf9299;2025-05-26T18:38:29.007729;A;2025-05-26T18:28:58.227839;2025-05-26T18:38:29.007765;3;3;3;3;3;3;;;;Unsure;;;;;;;;;;;;;;
41cff7b3-b2ac-4586-9d3d-898f9c37e26b;2025-05-26T19:58:28.366915;A;2025-05-26T19:56:39.109160;2025-05-26T19:58:28.366946;3;2;3;3;3;3;;;;Unsure;;;;;;;;;;;;;;
ee6b9b27-d9a4-4313-a258-47bc1ceb2809;2025-05-26T20:18:23.676627;A;2025-05-26T20:16:58.530617;2025-05-26T20:18:23.676657;3;3;3;3;3;3;;;;Unsure;;;;;;;;;;;;;;
3886b27e-54ce-48fa-854e-f775a10a929e;2025-05-26T20:33:14.395707;B;2025-05-26T20:18:52.114742;2025-05-26T20:33:14.395733;5;3;3;3;3;3;3;;;Unsure;;;3;;3;3;3;3;3;3;3;3;Not sure;3
032c8761-aad2-4b97-9680-0bf1f0f0265e;2025-05-26T20:38:01.138734;B;2025-05-26T20:34:38.199432;2025-05-26T20:38:01.138768;3;3;3;3;3;3;3;;;Unsure;;;3;;3;3;3;3;3;3;3;3;Not sure;3
fa8abc93-c131-435c-ad06-55d445465030;2025-05-26T21:03:21.970177;A;2025-05-26T21:02:10.378735;2025-05-26T21:03:21.970210;3;3;3;3;3;3;;;;Unsure;;;;;;;;;;;;;;
e4e4095e-4c6e-4be0-8e01-a0135832b58d;2025-05-26T21:07:21.648504;B;2025-05-26T21:03:36.781996;2025-05-26T21:07:21.648535;3;3;3;3;3;3;3;;;Unsure;;;3;;3;3;3;3;3;3;3;3;Not sure;3
78d6df64-1bcc-4f35-845c-3bb87b8de1ca;2025-05-27T15:55:24.030556;A;2025-05-27T15:51:52.520116;2025-05-27T15:55:24.030584;3;3;3;3;3;3;;;;Unsure;;;;;;;;;;;;;;
