user_id;task_id;completion_status;task_start;timestamp;task_duration;duration;survey_data;model_type;model_name;group;event_type;prompt_count
456e1acb-fb5c-4c0d-a6c1-3ee43627b6d0;1;started;2025-05-30T21:55:12.485228;2025-05-30T21:55:12.485228;;;;;;;;
37d2e7ca-0332-4565-880f-b695174c5fba;1;completed;2025-05-30T22:01:47.806278;2025-05-30T22:01:58.238100;10.431782;;;;;;;
37d2e7ca-0332-4565-880f-b695174c5fba;1;;;2025-05-30T20:01:58.246524+00:00;;10.440209;{'timestamp': '2025-05-30T22:01:58.238100', 'user_id': '37d2e7ca-0332-4565-880f-b695174c5fba', 'task_number': 1, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 10.440209, 'start_time': '2025-05-30T22:01:47.806278', 'end_time': '2025-05-30T22:01:58.246503', 'prompt_count': 1};Together;meta-llama/Llama-3.3-70B-Instruct-Turbo-Free;A;TASK_COMPLETION;1.0
37d2e7ca-0332-4565-880f-b695174c5fba;2;completed;2025-05-30T22:03:06.976781;2025-05-30T22:03:19.850000;12.873165;;;;;;;1.0
37d2e7ca-0332-4565-880f-b695174c5fba;2;;;2025-05-30T20:03:19.859113+00:00;;12.882299;{'timestamp': '2025-05-30T22:03:19.850000', 'user_id': '37d2e7ca-0332-4565-880f-b695174c5fba', 'task_number': 2, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 12.882299, 'start_time': '2025-05-30T22:03:06.976781', 'end_time': '2025-05-30T22:03:19.859096', 'prompt_count': 1};Together;meta-llama/Llama-3.3-70B-Instruct-Turbo-Free;A;TASK_COMPLETION;1.0
37d2e7ca-0332-4565-880f-b695174c5fba;3;completed;2025-05-30T22:03:35.619159;2025-05-30T22:03:45.433789;9.814591;;;;;;;1.0
37d2e7ca-0332-4565-880f-b695174c5fba;3;;;2025-05-30T20:03:45.442018+00:00;;9.822828;{'timestamp': '2025-05-30T22:03:45.433789', 'user_id': '37d2e7ca-0332-4565-880f-b695174c5fba', 'task_number': 3, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 9.822828, 'start_time': '2025-05-30T22:03:35.619159', 'end_time': '2025-05-30T22:03:45.441998', 'prompt_count': 1};Together;meta-llama/Llama-3.3-70B-Instruct-Turbo-Free;A;TASK_COMPLETION;1.0
acb64018-04f0-4f2b-839a-08a1bcad2ba8;1;completed;2025-05-30T22:14:58.007257;2025-05-30T22:15:22.796049;24.788758;;;;;;;2.0
acb64018-04f0-4f2b-839a-08a1bcad2ba8;1;;;2025-05-30T20:15:22.805223+00:00;;24.797926;{'timestamp': '2025-05-30T22:15:22.796049', 'user_id': 'acb64018-04f0-4f2b-839a-08a1bcad2ba8', 'task_number': 1, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 24.797926, 'start_time': '2025-05-30T22:14:58.007257', 'end_time': '2025-05-30T22:15:22.805197', 'prompt_count': 2};Together;meta-llama/Llama-3.3-70B-Instruct-Turbo-Free;B;TASK_COMPLETION;2.0
acb64018-04f0-4f2b-839a-08a1bcad2ba8;2;completed;2025-05-30T22:15:24.634120;2025-05-30T22:15:39.206049;14.571892;;;;;;;1.0
acb64018-04f0-4f2b-839a-08a1bcad2ba8;2;;;2025-05-30T20:15:39.215410+00:00;;14.581246;{'timestamp': '2025-05-30T22:15:39.206049', 'user_id': 'acb64018-04f0-4f2b-839a-08a1bcad2ba8', 'task_number': 2, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 14.581246, 'start_time': '2025-05-30T22:15:24.634120', 'end_time': '2025-05-30T22:15:39.215382', 'prompt_count': 1};Together;meta-llama/Llama-3.3-70B-Instruct-Turbo-Free;B;TASK_COMPLETION;1.0
acb64018-04f0-4f2b-839a-08a1bcad2ba8;3;completed;2025-05-30T22:15:43.912681;2025-05-30T22:15:53.727377;9.814664;;;;;;;1.0
acb64018-04f0-4f2b-839a-08a1bcad2ba8;3;;;2025-05-30T20:15:53.732342+00:00;;9.819646;{'timestamp': '2025-05-30T22:15:53.727377', 'user_id': 'acb64018-04f0-4f2b-839a-08a1bcad2ba8', 'task_number': 3, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 9.819646, 'start_time': '2025-05-30T22:15:43.912681', 'end_time': '2025-05-30T22:15:53.732333', 'prompt_count': 1};Together;meta-llama/Llama-3.3-70B-Instruct-Turbo-Free;B;TASK_COMPLETION;1.0
40dbf9a5-cf0f-442d-ab57-e1d8f81a131b;1;completed;2025-05-30T22:35:21.461770;2025-05-30T22:35:47.224573;25.762784;;;;;;;2.0
