user_id;group;login_time;age;gender;training_level;specialization;patient_records_exp;patient_records_years;clinical_reasoning_training;clinical_reasoning_desc;clinical_notes_confidence;gen_ai_familiarity;prompt_eng_familiarity;cds_familiarity;tools_used;other_tools;llm_usage_frequency;use_cases;other_use_cases;trust_level;expectations
846177f0-045d-425d-8973-3095af3f907a;B;2025-05-20T15:39:14.017356;Prefer not to say;Female;Medical Student (Pre-clinical);;No;;Yes;;3;3;3;3;;;1-3 times per month;;;3;
372313c0-4622-40e4-a58e-be4f741b3fc6;A;2025-05-20T22:13:25.202232;Prefer not to say;Female;Medical Student (Pre-clinical);;No;;Yes;;3;3;3;3;;;1-3 times per month;;;3;
726b8603-289e-41aa-b871-01f147852f69;A;2025-05-20T22:18:46.777696;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;;Yes;;3;3;3;3;;;1-3 times per month;;;3;
b58aaefa-cc13-43c9-bee7-691ec68a5949;B;2025-05-20T22:19:27.693616;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;;Yes;;3;3;3;3;;;1-3 times per month;;;3;
772d7eea-c505-4d14-90fc-e9ff693b0037;A;2025-05-20T22:28:25.389146;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;;Yes;;3;3;3;3;;;1-3 times per month;;;3;
d558eb9b-df76-4c27-a939-e3a24517772f;B;2025-05-20T22:32:22.440309;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;;Yes;;3;3;3;3;;;1-3 times per month;;;3;
62d6863e-db5d-4071-a162-118dfebf2a8a;B;2025-05-20T22:40:33.018821;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;;Yes;;3;3;3;3;;;1-3 times per month;;;3;
c94351d5-2cbe-466a-9f32-fc886501b959;A;2025-05-21T09:29:17.733148;Prefer not to say;Female;Medical Student (Pre-clinical);;No;;Yes;;3;3;3;3;;;1-3 times per month;;;3;
c6e7a382-292d-46b1-8f90-b3def528de28;B;2025-05-21T09:41:14.716734;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;;Yes;;3;3;3;3;;;1-3 times per month;;;3;
6266b738-1852-4d33-912f-1d884c990302;A;2025-05-22T12:55:41.575845;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;;Yes;;3;3;3;3;;;1-3 times per month;;;3;
1ebf9ddb-f074-47c4-a6e4-aa18c11aaf33;B;2025-05-22T13:02:10.148488;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;;Yes;;3;3;3;3;;;1-3 times per month;;;3;
acb0592c-bd07-46cf-a0e6-f427fea4e1b5;B;2025-05-22T13:03:54.694019;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;;Yes;;3;3;3;3;;;1-3 times per month;;;3;
bd4f4e0f-b558-4acf-b030-20fa4e9920f2;A;2025-05-22T13:11:44.214947;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;;Yes;;3;3;3;3;;;1-3 times per month;;;3;
264dd611-d146-4adf-bb10-9d1566b5b053;B;2025-05-25T12:15:46.613570;26;Female;Other;;No;;No;;1;5;5;1;;;Daily or more frequently;;;4;
f7491828-6149-4ff1-8e91-396ce05e17f0;A;2025-05-25T13:50:28.796121;18;Female;Specialist;;Yes;2.0;Yes;;1;5;1;2;;;Never used;;;4;
60d6283c-4b2a-4fc4-b701-12c506d7cc32;B;2025-05-25T14:09:28.387518;19;Female;Specialist;;Yes;2.0;Yes;;1;3;2;4;;;Daily or more frequently;;;5;
e0af3d42-3cb3-4186-bf7c-f528cc293e0e;A;2025-05-25T17:15:59.943941;Prefer not to say;Female;Medical Student (Pre-clinical);;No;;Yes;;3;3;3;3;;;1-3 times per month;;;3;
c18df2da-4650-44a0-b876-82efe7555735;B;2025-05-25T17:55:20.875795;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;;Yes;;3;3;3;3;;;1-3 times per month;;;3;
3a51f6b0-cd97-482d-8908-16b63fed96c7;A;2025-05-26T08:59:37.083920;18;Female;Other;;Yes;2.0;Yes;;1;5;2;3;;;Daily or more frequently;;;2;
72cb9aa5-d6eb-4ce7-aa3c-0245e5383c4c;B;2025-05-26T09:04:21.340468;18;Non-binary;Specialist;;Yes;1.0;Yes;;1;4;4;2;;;1-6 times per week;;;1;
3e1951fb-3411-4d20-b999-fe9ecb0c2e7e;A;2025-05-26T10:37:35.422005;Prefer not to say;Non-binary;Specialist;;Yes;1.0;Yes;;3;4;1;4;;;1-3 times per month;;;3;
ec19b2a4-9e2e-4254-9fb7-1d955c38e60e;A;2025-05-26T11:13:21.367476;19;Male;Specialist;;Yes;1.0;Yes;;2;4;1;2;;;1-6 times per week;;;4;
4bb6b10b-e250-4dfd-8afb-83bee4aad5a5;B;2025-05-26T12:40:48.497421;Prefer not to say;Female;Specialist;;Yes;2.0;Yes;;3;2;4;2;;;1-6 times per week;;;4;
b11efbfa-60ab-472c-a395-00230d99c288;A;2025-05-26T12:48:19.353604;Prefer not to say;Non-binary;Specialist;;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
854b6b73-c6e5-4227-8544-de69aad24abc;B;2025-05-26T12:50:14.483631;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
704f0b96-02fc-4668-9f0b-c253d1cbc47c;A;2025-05-26T12:56:19.461714;Prefer not to say;Non-binary;Other;;Yes;5.0;Yes;;1;2;4;3;;;1-6 times per week;;;1;
7901d322-d4b0-4b67-89e0-7a862c2c0f9f;B;2025-05-26T12:59:09.067616;19;Non-binary;Specialist;;Yes;5.0;Yes;;3;3;2;4;;;Less than once a month;;;5;
1dfd8d92-6a75-4175-a045-6915230186a1;A;2025-05-26T13:11:26.762685;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
12407b18-ebc2-4632-a691-c284a4107ab1;B;2025-05-26T13:13:46.517735;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
97c96792-c9c0-459b-9480-d8cd35403a26;A;2025-05-26T13:38:07.797831;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
ad5fee4d-7e45-4085-a72c-b2c2d5a6d454;A;2025-05-26T13:39:19.097346;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
fccfe913-3838-4c54-ba4c-873ef7885d71;B;2025-05-26T13:40:12.041587;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
15a82e07-9e0e-44e8-ac84-d7bf92679e36;A;2025-05-26T13:52:42.066437;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
0cc2e859-288d-47f0-967b-6c319c100072;B;2025-05-26T13:54:03.348235;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
0b10e536-2102-4376-a42d-c14cb2c0d667;A;2025-05-26T14:01:09.916967;Prefer not to say;Female;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
389b78f4-48f2-46fd-b877-6eb721da66d5;B;2025-05-26T14:02:05.076776;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
518e6810-cda5-4cad-bd4c-6831d14577df;A;2025-05-26T14:36:05.115997;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;2;;;1-3 times per month;;;4;
829ce4bf-38db-452e-a616-c545b62bcba1;B;2025-05-26T15:06:21.065141;Prefer not to say;Non-binary;Specialist;;Yes;1.0;Yes;;3;1;5;2;;;Less than once a month;;;3;
ee161ddf-04da-4846-902d-deff5eee7405;A;2025-05-26T15:58:52.242050;Prefer not to say;Non-binary;Specialist;;Yes;1.0;Yes;;2;3;3;2;;;1-3 times per month;;;1;
a78d2096-e138-420e-bbb7-427da51a1907;B;2025-05-26T16:18:16.862134;Prefer not to say;Non-binary;Specialist;;Yes;1.0;Yes;;3;3;3;3;;;1-3 times per month;;;5;
3e653ecf-a8c5-434c-b25c-0364335b2240;A;2025-05-26T16:35:04.255763;Prefer not to say;Female;Medical Student (Pre-clinical);;Yes;1.0;Yes;;3;3;3;3;;;1-3 times per month;;;2;
315e8430-764e-49ba-bf06-7bb4d82ee550;B;2025-05-26T16:46:44.602896;Prefer not to say;Female;Other;;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
fd0377f4-1f25-4f11-a8ad-2576c1608257;A;2025-05-26T17:02:14.725140;Prefer not to say;Prefer not to say;Specialist;;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
a9c4deae-1853-4b0a-ba6f-5dd0570438ca;B;2025-05-26T17:07:10.336337;Prefer not to say;Non-binary;Other;;Yes;1.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
ff0e6905-215c-4e41-b034-eda80dd9e417;A;2025-05-26T17:27:59.363553;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
d85d72bb-5773-4cd8-9d5f-0acfd7183311;A;2025-05-26T17:37:25.515967;Prefer not to say;Female;Other;;Yes;1.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
77309108-450b-411d-832e-6d6447535710;B;2025-05-26T17:44:43.298007;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;Daily or more frequently;;;3;
8ab2221e-751f-4638-a060-c1eea0744f5d;A;2025-05-26T17:59:52.712716;Prefer not to say;Non-binary;Other;;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
ca240a20-d819-4751-8a4e-fcc619392749;B;2025-05-26T18:16:15.266776;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
c46b3b89-00d0-4d7b-a09e-86550dbf9299;A;2025-05-26T18:35:22.091651;Prefer not to say;Non-binary;Specialist;;Yes;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;2;
d9067709-a58f-4074-9ad2-b1c3e1c87572;B;2025-05-26T18:38:58.590480;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
c3372216-5707-4c4a-8efe-2d01b6a37542;A;2025-05-26T18:45:20.412402;Prefer not to say;Female;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
5195c8a9-ce82-4373-8ed7-c422390f79b5;B;2025-05-26T19:49:25.946997;Prefer not to say;Female;Other;;No;0.0;Yes;;3;3;3;3;;;Never used;;;4;
19db4d66-5d6b-4874-a17c-5230a1bdb8d0;A;2025-05-26T19:55:19.609970;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
41cff7b3-b2ac-4586-9d3d-898f9c37e26b;A;2025-05-26T19:56:50.931908;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
ff92c38c-c080-45aa-a997-5f16db18c345;B;2025-05-26T19:58:50.344589;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
ee6b9b27-d9a4-4313-a258-47bc1ceb2809;A;2025-05-26T20:17:09.513101;Prefer not to say;Female;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
3886b27e-54ce-48fa-854e-f775a10a929e;B;2025-05-26T20:19:01.891882;Prefer not to say;Female;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
1de92c7e-be4d-43ea-9efd-20d9f87b6f5d;A;2025-05-26T20:34:03.131707;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
032c8761-aad2-4b97-9680-0bf1f0f0265e;B;2025-05-26T20:34:47.626514;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
07414e69-9478-4a54-b3a2-e39cf4716cf9;A;2025-05-26T20:52:02.573963;Prefer not to say;Female;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
eaf2d5e9-bf67-4177-b72b-51f487837629;B;2025-05-26T20:54:13.550935;Prefer not to say;Female;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
ac1e0c19-6342-49c8-878c-c063876a9129;B;2025-05-26T20:56:24.380757;Prefer not to say;Female;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
fa8abc93-c131-435c-ad06-55d445465030;A;2025-05-26T21:02:20.370169;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
e4e4095e-4c6e-4be0-8e01-a0135832b58d;B;2025-05-26T21:03:45.871740;Prefer not to say;Female;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;
d1e89ace-4a6a-4974-b998-944a5a1e2fbd;A;2025-05-26T21:10:20.481128;Prefer not to say;Male;Specialist;;No;0.0;Yes;;3;5;3;2;;;1-3 times per month;;;3;
